zip_code,longitude,latitude
04147,20.9367,48.6777
04148,20.9367,48.6777
04149,20.9367,48.6777
04150,20.9367,48.6777
04152,20.9367,48.6777
04153,20.9367,48.6777
04154,20.9367,48.6777
04155,20.9367,48.6777
04156,20.9367,48.6777
04158,20.9367,48.6777
04160,20.9367,48.6777
04161,20.9367,48.6777
04162,20.9367,48.6777
04163,20.9367,48.6777
04167,20.9367,48.6777
04168,20.9367,48.6777
04170,20.9367,48.6777
04171,20.9367,48.6777
04174,20.9367,48.6777
04175,20.9367,48.6777
04176,20.9367,48.6777
04178,20.9367,48.6777
04179,20.9367,48.6777
04180,20.9367,48.6777
04181,20.9367,48.6777
04182,20.9367,48.6777
04183,20.9367,48.6777
04185,20.9367,48.6777
04186,20.9367,48.6777
04189,20.9367,48.6777
04192,20.9367,48.6777
04193,20.9367,48.6777
04196,20.9367,48.6777
04197,20.9367,48.6777
04200,20.9367,48.6777
04202,20.9367,48.6777
04203,20.9367,48.6777
04204,20.9367,48.6777
04205,20.9367,48.6777
04207,20.9367,48.6777
04208,20.9367,48.6777
04209,20.9367,48.6777
04211,20.9367,48.6777
04212,20.9367,48.6777
04213,20.9367,48.6777
04214,20.9367,48.6777
04215,20.9367,48.6777
04218,20.9367,48.6777
04219,20.9367,48.6777
04220,20.9367,48.6777
04223,20.9367,48.6777
04224,20.9367,48.6777
04226,20.9367,48.6777
04227,20.9367,48.6777
04229,20.9367,48.6777
04233,20.9367,48.6777
04234,20.9367,48.6777
04235,20.9367,48.6777
04239,20.9367,48.6777
04240,20.9367,48.6777
04241,20.9367,48.6777
04242,20.9367,48.6777
04244,20.9367,48.6777
04246,20.9367,48.6777
04248,20.9367,48.6777
04249,20.9367,48.6777
04252,20.9367,48.6777
04253,20.9367,48.6777
04254,20.9367,48.6777
04255,20.9367,48.6777
04260,20.9367,48.6777
04261,20.9367,48.6777
04264,20.9367,48.6777
04265,20.9367,48.6777
04271,20.9367,48.6777
04272,20.9367,48.6777
04273,20.9367,48.6777
04274,20.9367,48.6777
04277,20.9367,48.6777
04281,20.9367,48.6777
04282,20.9367,48.6777
04284,20.9367,48.6777
04286,20.9367,48.6777
04287,20.9367,48.6777
04288,20.9367,48.6777
04289,20.9367,48.6777
04290,20.9367,48.6777
04292,20.9367,48.6777
04295,20.9367,48.6777
04296,20.9367,48.6777
04297,20.9367,48.6777
04299,20.9367,48.6777
04300,20.9367,48.6777
04301,20.9367,48.6777
04304,20.9367,48.6777
04305,20.9367,48.6777
04306,20.9367,48.6777
04307,20.9367,48.6777
04309,20.9367,48.6777
04310,20.9367,48.6777
04314,20.9367,48.6777
04315,20.9367,48.6777
04317,20.9367,48.6777
04319,20.9367,48.6777
04320,20.9367,48.6777
04322,20.9367,48.6777
04326,20.9367,48.6777
04327,20.9367,48.6777
04328,20.9367,48.6777
04329,20.9367,48.6777
04332,20.9367,48.6777
04337,20.9367,48.6777
04338,20.9367,48.6777
04339,20.9367,48.6777
04340,20.9367,48.6777
04341,20.9367,48.6777
04343,20.9367,48.6777
04347,20.9367,48.6777
04349,20.9367,48.6777
04351,20.9367,48.6777
04352,20.9367,48.6777
04356,20.9367,48.6777
04357,20.9367,48.6777
04358,20.9367,48.6777
04360,20.9367,48.6777
04365,20.9367,48.6777
04366,20.9367,48.6777
04369,20.9367,48.6777
04370,20.9367,48.6777
04372,20.9367,48.6777
04373,20.9367,48.6777
04374,20.9367,48.6777
04375,20.9367,48.6777
04376,20.9367,48.6777
04377,20.9367,48.6777
04378,20.9367,48.6777
04379,20.9367,48.6777
04386,20.9367,48.6777
04389,20.9367,48.6777
04390,20.9367,48.6777
04391,20.9367,48.6777
04393,20.9367,48.6777
04395,20.9367,48.6777
04396,20.9367,48.6777
04398,20.9367,48.6777
04401,20.9475,48.6103
04402,20.833,48.5993
04405,20.9688,48.5548
04410,21.3099,48.6279
04411,21.3343,48.5755
04412,21.106,48.7303
04413,21.3023,48.6326
04414,21.3037,48.5886
04415,21.3651,48.6239
04416,21.4009,48.6561
04417,21.4772,48.6359
04418,21.5233,48.6314
04419,21.442,48.7091
04420,21.1518,48.7103
04421,21.072,48.6902
04423,21.0097,48.6946
04424,20.9752,48.7117
04425,20.9273,48.7216
04426,20.7909,48.7082
04431,21.2408,48.7922
04441,21.347,48.692
04442,21.3162,48.7682
04443,21.3238,48.7829
04444,21.3153,48.8325
04445,21.4681,48.7932
04447,21.4325,48.8027
04454,21.2332,48.5812
04455,21.1442,48.585
04457,21.2354,48.591
04458,21.2614,48.559
04461,21.0047,48.7534
04465,21.1113,48.8017
04471,21.0628,48.6472
04473,21.0761,48.5322
04474,21.159,48.5324
04481,21.157,48.8599
04501,21.0204,48.596
04523,20.9996,48.6143
04552,20.9996,48.6143
04801,20.4894,48.6578
04803,20.5228,48.6698
04815,20.5228,48.6698
04820,20.5228,48.6698
04840,20.5228,48.6698
04880,20.5228,48.6698
04901,20.0702,48.7488
04902,20.0702,48.7488
04911,20.486,48.5323
04912,20.3782,48.535
04913,20.2967,48.5642
04914,20.2401,48.5835
04916,20.2791,48.5982
04918,20.201,48.6629
04921,20.5081,48.7027
04922,20.4828,48.713
04923,20.3709,48.7446
04924,20.4202,48.7593
04925,20.3699,48.8207
04926,20.2861,48.7904
04931,20.4608,48.6564
04932,20.4052,48.6678
04934,20.3389,48.7669
04935,20.3506,48.6922
04936,20.2822,48.713
04941,20.6121,48.682
04942,20.6218,48.6291
04943,20.6354,48.5824
04944,20.7507,48.6063
04945,20.5792,48.6254
04951,20.4957,48.631
04952,20.5221,48.5555
04955,20.4151,48.532
04961,20.1869,48.6077
04962,20.1916,48.5774
04964,20.0991,48.6188
04971,20.3384,48.8712
04973,20.3795,48.8672
05001,20.0802,48.7159
05062,20.1224,48.7026
05080,20.1224,48.7026
05201,20.5897,48.9092
05205,20.5615,48.9446
05206,20.5463,48.9401
05207,20.5463,48.9401
05219,20.5463,48.9401
05220,20.5463,48.9401
05221,20.5463,48.9401
05224,20.5463,48.9401
05226,20.5463,48.9401
05251,20.5463,48.9401
05263,20.5463,48.9401
05270,20.5463,48.9401
05273,20.5463,48.9401
05275,20.5463,48.9401
05280,20.5463,48.9401
05301,20.5826,48.9619
05302,20.6608,48.96
05303,20.7256,49.0166
05304,20.769,49.0124
05305,20.8376,49.0109
05306,20.7994,49.0238
05311,20.5265,48.9916
05313,20.4648,48.9765
05314,20.4853,49.0197
05315,20.3898,48.9812
05321,20.6725,48.918
05322,20.6628,48.9437
05323,20.7239,48.8842
05331,20.5615,48.9446
05332,20.5745,48.8592
05333,20.6184,48.8658
05334,20.6761,48.7991
05340,20.837,48.881
05342,20.8682,48.9342
05351,20.9414,48.9244
05361,20.842,48.9623
05362,20.7598,48.9487
