Code Cube,Title
ps3808rr,"Numbers and proportions of households by intervals of monthly equivalised disposable income by region"
Last update,2025-05-02

Code Dimension,Code Dimension,Code Dimension,Code Dimension,Data
nuts13,ps3808rr_rok,ps3808rr_int,ps3808rr_mj
Code Element,Code Element,Code Element,Code Element,Value
SK04,2016,P_INT_8,mj_pocet_dom,53437
SK04,2016,P_INT_8,mj_podiel_dom,10.7
SK04,2016,P_INT_9,mj_pocet_dom,27996
SK04,2016,P_INT_9,mj_podiel_dom,5.6
SK04,2016,P_INT_10,mj_pocet_dom,14246
SK04,2016,P_INT_10,mj_podiel_dom,2.9
SK04,2016,P_INT_11,mj_pocet_dom,33559
SK04,2016,P_INT_11,mj_podiel_dom,6.7
SK041,2016,P_INT_spolu,mj_pocet_dom,237455
SK041,2016,P_INT_spolu,mj_podiel_dom,100
SK041,2016,P_INT_1,mj_pocet_dom,2672
SK041,2016,P_INT_1,mj_podiel_dom,1.1
SK041,2016,P_INT_2,mj_pocet_dom,12688
SK041,2016,P_INT_2,mj_podiel_dom,5.3
SK041,2016,P_INT_3,mj_pocet_dom,11233
SK041,2016,P_INT_3,mj_podiel_dom,4.7
SK041,2016,P_INT_4,mj_pocet_dom,30692
SK041,2016,P_INT_4,mj_podiel_dom,12.9
SK041,2016,P_INT_5,mj_pocet_dom,46444
SK041,2016,P_INT_5,mj_podiel_dom,19.6
SK041,2016,P_INT_6,mj_pocet_dom,40767
SK041,2016,P_INT_6,mj_podiel_dom,17.2
SK041,2016,P_INT_7,mj_pocet_dom,36148
SK041,2016,P_INT_7,mj_podiel_dom,15.2
SK041,2016,P_INT_8,mj_pocet_dom,23265
SK041,2016,P_INT_8,mj_podiel_dom,9.8
SK041,2016,P_INT_9,mj_pocet_dom,10794
SK041,2016,P_INT_9,mj_podiel_dom,4.5
SK041,2016,P_INT_10,mj_pocet_dom,8719
SK041,2016,P_INT_10,mj_podiel_dom,3.7
SK041,2016,P_INT_11,mj_pocet_dom,14033
SK041,2016,P_INT_11,mj_podiel_dom,5.9
SK042,2016,P_INT_spolu,mj_pocet_dom,261821
SK042,2016,P_INT_spolu,mj_podiel_dom,100
SK042,2016,P_INT_1,mj_pocet_dom,1871
SK042,2016,P_INT_1,mj_podiel_dom,0.7
SK042,2016,P_INT_2,mj_pocet_dom,3757
SK042,2016,P_INT_2,mj_podiel_dom,1.4
SK042,2016,P_INT_3,mj_pocet_dom,11366
SK042,2016,P_INT_3,mj_podiel_dom,4.3
SK042,2016,P_INT_4,mj_pocet_dom,21961
SK042,2016,P_INT_4,mj_podiel_dom,8.4
SK042,2016,P_INT_5,mj_pocet_dom,41848
SK042,2016,P_INT_5,mj_podiel_dom,16
SK042,2016,P_INT_6,mj_pocet_dom,63771
SK042,2016,P_INT_6,mj_podiel_dom,24.4
SK042,2016,P_INT_7,mj_pocet_dom,44820
SK042,2016,P_INT_7,mj_podiel_dom,17.1
SK042,2016,P_INT_8,mj_pocet_dom,30172
SK042,2016,P_INT_8,mj_podiel_dom,11.5
SK042,2016,P_INT_9,mj_pocet_dom,17202
SK042,2016,P_INT_9,mj_podiel_dom,6.6
SK042,2016,P_INT_10,mj_pocet_dom,5527
SK042,2016,P_INT_10,mj_podiel_dom,2.1
SK042,2016,P_INT_11,mj_pocet_dom,19526
SK042,2016,P_INT_11,mj_podiel_dom,7.5
